the,这
be,是
and,和
of,的
a,一种
in,在
to,到
have,有
it,它
I,一世
that,那
for,为了
you,你
he,他
with,和
on,在
do,做
say,说
this,这个
they,他们
at,在
but,但
we,我们
his,他的
from,从
that,那
not,不是
n't,不
by,经过
she,她
or,或者
as,作为
what,什么
go,走
their,他们的
can,能够
who,WHO
get,得到
if,如果
would,将
her,她
all,全部
my,我的
make,制作
about,关于
know,知道
will,将要
as,作为
up,向上
one,一
time,时间
there,那里
year,年
so,所以
think,思考
when,什么时候
which,哪一个
them,他们
some,一些
me,我
people,人们
take,拿
out,出去
into,进入
just,只是
see,看
him,他
your,您的
come,来
could,可以
now,现在
than,比
like,喜欢
other,其他
how,如何
then,然后
its,它的
our,我们的
two,二
more,更多的
these,这些
want,想
way,道路
look,看
first,第一的
also,还
new,新的
because,因为
day,日
more,更多的
use,用
no,不
man,男人
find,找
here,这里
thing,事物
give,给
many,许多
well,好
only,只要
those,那些
tell,告诉
one,一
very,非常
her,她
even,甚至
back,背部
any,任何
good,好的
woman,女士
through,通过
us,我们
life,生活
child,孩子
there,那里
work,工作
down,下
may,可能
after,后
should,应该
call,称呼
world,世界
over,超过
school,学校
still,仍然
try,尝试
in,在
as,作为
last,最后的
ask,问
need,需要
too,也
feel,感觉
three,三
when,什么时候
state,状态
never,绝不
become,变得
between,之间
high,高的
really,真的
something,某物
most,最多
another,其他
much,很多
family,家庭
own,自己的
out,出去
leave,离开
put,放
old,老的
while,尽管
mean,意思
on,在
keep,保持
student,学生
why,为什么
let,让
great,伟大的
same,相同的
big,大
group,团体
begin,开始
seem,似乎
country,国家
help,帮助
talk,讲话
where,在哪里
turn,转动
problem,问题
every,每一个
start,开始
hand,手
might,可能
American,美国人
show,展示
part,部分
about,关于
against,反对
place,地方
over,超过
such,这样的
again,再次
few,很少
case,案件
most,最多
week,星期
company,公司
where,在哪里
system,系统
each,每
right,对
program,程序
hear,听到
so,所以
question,题
during,期间
work,工作
play,玩
government,政府
run,跑
small,小的
number,数字
off,离开
always,总是
move,移动
like,喜欢
night,夜晚
live,居住
Mr,先生
point,观点
believe,相信
hold,抓住
today,今天
bring,带来
happen,发生
next,下一个
without,没有
before,前
large,大的
all,全部
million,百万
must,必须
home,家
under,在下面
water,水
room,房间
write,写
mother,母亲
area,区域
national,国民
money,钱
story,故事
young,年轻
fact,事实
month,月
different,不同的
lot,很多
right,对
study,学习
book,书
eye,眼睛
job,工作
word,单词
though,尽管
business,商业
issue,问题
side,边
kind,种类
four,四
head,头
far,远的
black,黑色的
long,长
both,两个都
little,小的
house,房子
yes,是的
after,后
since,自从
long,长
provide,提供
service,服务
around,大约
friend,朋友
important,重要的
father,父亲
sit,坐
away,离开
until,直到
power,力量
hour,小时
game,游戏
often,经常
yet,然而
line,线
political,政治的
end,结尾
among,之中
ever,曾经
stand,站立
bad,坏的
lose,失去
however,然而
member,成员
pay,支付
law,法律
meet,遇见
car,车
city,城市
almost,几乎
include,包括
continue,继续
set,放
later,之后
community,社区
much,很多
name,姓名
five,五
once,一次
white,白色的
least,至少
president,总统
learn,学习
real,真实的
change,改变
team,团队
minute,分钟
best,最好的事物
several,一些
idea,主意
kid,孩子
body,身体
information,信息
nothing,没有
ago,前
right,对
lead,带领
social,社会的
understand,理解
whether,无论
back,背部
watch,手表
together,一起
follow,跟随
around,大约
parent,亲
only,只要
stop,停止
face,脸
anything,任何事物
create,创建
public,民众
already,已经
speak,说话
others,其他
read,读
level,等级
allow,允许
add,添加
office,办公室
spend,花费
door,门
health,健康
person,人
art,艺术
sure,当然
such,这样的
war,战争
history,历史
party,派对
within,之内
grow,生长
result,结果
open,打开
change,改变
morning,早晨
walk,走
reason,原因
low,低的
win,赢
research,研究
girl,女孩
guy,家伙
early,早期的
food,食物
before,前
moment,片刻
himself,他自己
air,空气
teacher,老师
force,力量
offer,提供
enough,足够的
both,两个都
education,教育
across,穿过
although,虽然
remember,记住
foot,脚
second,第二
boy,男孩
maybe,也许
toward,往
able,有能力的
age,年龄
off,离开
policy,政策
everything,一切
love,爱
process,过程
music,音乐
including,包含
consider,考虑
appear,出现
actually,实际上
buy,买
probably,大概
human,人类
wait,等待
serve,服务
market,市场
die,死
send,发送
expect,预计
home,家
sense,感觉
build,建造
